date_year,democracy_score,country_name
2005,2.811165236,Oman
2006,2.77,Oman
2007,2.915191196,Oman
2008,2.98,Oman
2009,2.998474528,Oman
2010,2.86,Oman
2011,3.26,Oman
2012,3.26,Oman
2013,3.26,Oman
2014,3.15,Oman
2015,3.04,Oman
2016,3.04,Oman
2017,3.04,Oman
2018,3.04,Oman
2019,3.06,Oman
2020,3,Oman
2021,3,Oman
2022,3.12,Oman
2023,3.12,Oman
2005,1.359154868,Tunisia
2006,3.06,Tunisia
2007,2.840826691,Tunisia
2008,2.96,Tunisia
2009,4.069016294,Tunisia
2010,2.79,Tunisia
2011,5.53,Tunisia
2012,5.67,Tunisia
2013,5.76,Tunisia
2014,6.31,Tunisia
2015,6.72,Tunisia
2016,6.4,Tunisia
2017,6.32,Tunisia
2018,6.41,Tunisia
2019,6.72,Tunisia
2020,6.59,Tunisia
2021,5.99,Tunisia
2022,5.51,Tunisia
2023,5.51,Tunisia
