Country Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,26,27,28,31,30,32,28,29,29,34,36,36,36,34,33,35,34,34
Bahrain,61,58,58,57,50,54,51,49,51,51,48,49,51,43,43,36,43,43
Egypt,33,32,34,33,29,28,28,31,29,32,32,37,36,34,32,35,34,34
"Iran, Islamic Rep.",30,29,29,27,25,23,18,22,27,28,25,27,27,29,29,28,29,29
Iraq,22,21,22,19,15,13,15,15,18,18,16,16,16,17,17,18,17,17
Israel,70,64,63,59,61,60,61,61,58,60,61,60,61,64,62,61,64,64
Jordan,46,53,57,53,47,51,50,47,45,48,45,49,53,48,48,49,48,48
Kuwait,53,46,47,48,43,43,41,45,46,44,43,44,49,41,39,41,41,41
Lebanon,30,27,31,36,30,30,25,25,25,30,28,27,28,28,28,28,28,28
Libya,21,25,25,27,25,26,25,22,20,21,15,18,16,14,14,17,14,14
Morocco,33,32,32,32,35,35,33,34,34,37,37,39,36,37,37,37,37,37
Oman,63,61,63,54,47,55,55,53,48,47,47,45,45,45,45,52,45,45
Qatar,56,52,59,60,60,65,70,77,72,68,68,69,71,61,63,62,61,61
Saudi Arabia,45,34,34,33,34,35,43,47,44,44,46,49,52,46,46,49,46,46
Syrian Arab Republic,34,34,34,29,24,21,26,25,26,26,17,20,18,13,13,13,13,13
Tunisia,49,50,49,46,42,44,42,43,38,41,41,40,38,41,42,43,41,41
United Arab Emirates,52,61,62,62,57,59,65,63,68,68,69,70,70,66,71,70,66,66
"Yemen, Rep.",26,24,27,26,25,23,21,22,21,23,18,19,18,14,14,14,14,14
