Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Arab Emirates,423667090.0,213701290.0,441116410.0,991150440.0,2208000000.0,3750300000.0,10891763100.0,14567733150.0,15820300000.0,2722900000.0,2015000000.0,2178000000.0,2536010990.0,8828337870.0,11735900000.0,16691600000.0,15711400000.0,14059946000.0,15079292000.0,21226160000.0,18937330000.0
Bahrain,363562321.906708,80358858.3697633,216986881.649309,516700276.442676,865308118.622994,1048601306.14142,2914659868.30075,1756312514.78198,1793998354.54447,257149561.420298,155771009.169721,780851063.829787,1544680851.06383,3727712765.95745,1518617021.2766,64893617.0212766,243351063.829787,1426063829.78723,1654255319.14894,941755319.148936,1021276595.74468
Djibouti,3286049.48205333,3392958.62616123,3432346.2055694,14224542.9634089,38543559.8494269,22203341.1920932,108287709.387185,195351140.270424,227654582.182184,96859684.5617569,36501032.5172602,79000230.6986794,109998255.692912,286004467.676864,152998238.812521,143832186.404533,159997974.353059,164929861.974668,170000000.0,174999015.310515,158230011.0
Algeria,13700000.0,9300000.0,98570000.0,28320630.0,245449810.0,1155999999.99995,1841000000.00008,1686736539.70385,2638607033.75183,2746930734.16534,2300369124.15828,2571237024.68517,1500402452.8635,1691886707.50796,1502206170.55838,-537792920.921856,1638263953.77737,1230243450.87889,1466116068.03411,1381200049.59264,1143918159.62919
"Egypt, Arab Rep.",1235000000.0,509900000.0,646900000.0,237400000.0,1253300000.0,5375600000.0,10042800000.0,11578100000.0,9494600000.0,6711600000.0,6385600000.0,-482700000.0,2797700000.0,4192200000.0,4612200000.0,6925200000.0,8106800000.0,7408700000.0,8141300000.0,9010100000.0,5851800000.0
"Iran, Islamic Rep.",39000000.0,50000000.0,15201000.0,-325706000.0,104573000.0,414564000.0,148445000.0,358571000.0,202152000.0,95569000.0,238956000.0,257628000.0,1356030000.0,189204000.0,3442000.0,119691000.0,104112330.0,75748440.0,74601110.0,84820630.0,78390060.0
Iraq,,,,,,515300000.0,383000000.0,971800000.0,1855700000.0,1598300000.0,1396200000.0,2082000000.0,3400000000.0,-2335300000.0,-10176400000.0,-7574200000.0,-6255900000.0,-5032400000.0,-4885100000.0,-3075600000.0,-2859100000.0
Israel,8047500000.0,1771300000.0,1582500000.0,3322000000.0,2946900000.0,4818400000.0,14395500000.0,8798100000.0,10274200000.0,4606900000.0,6984700000.0,8653000000.0,9017300000.0,11842200000.0,6048900000.0,11336200000.0,11988000000.0,16892500000.0,21514500000.0,17362500000.0,20968700000.0
Jordan,913258110.014104,273628171.251894,238222874.679327,546967559.943583,936812411.847673,1984485190.40903,3544005641.74894,2622144778.84372,2826744496.33301,2413098591.5493,1688394366.19718,1486056338.02817,1548450704.22535,1946597204.0421,2178450704.22535,1600281690.14085,1552957746.47887,2029718309.85915,954929577.464789,729718309.859155,760281690.140845
Kuwait,16299834.3665165,-111516284.529561,3619441.97735906,-67111499.338334,23752969.1211401,233904109.589041,121305596.280329,111535690.174729,-5951752.85941426,1113588046.64934,1304627500.01185,3259067552.4562,2872588962.21562,1433630444.12308,485806657.755081,284647623.805362,292026510.202096,113012065.007347,-21377568.8207292,515617569.386937,-558055522.567383
