Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Arab Emirates,2.25,2.442,2.657,2.902,2.964,3.12,2.959,2.925,2.805,2.919,2.789,2.568,2.266,2.074,1.962,1.792,1.64,2.462,2.236,2.331,4.294
Bahrain,1.138,1.171,1.184,1.165,1.094,1.044,1.039,1.019,1.024,1.074,1.13,1.209,1.2,1.182,1.146,1.166,1.195,1.196,1.202,1.226,1.767
Djibouti,26.862,26.78,26.761,26.647,26.602,26.605,26.528,26.423,26.299,26.436,26.469,26.399,26.252,26.211,26.217,26.095,25.999,26.064,26.18,26.246,27.645
Algeria,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12.0,12.15,12.285,14.04
"Egypt, Arab Rep.",8.98,9.26,10.01,10.91,10.32,11.049,10.49,8.8,8.517,9.087,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974
"Iran, Islamic Rep.",11.699,12.356,12.8,11.528,10.3,11.813,11.519,10.772,10.63,12.113,13.679,12.491,12.275,10.595,10.68,11.166,12.618,12.232,12.195,10.74,9.687
Iraq,8.095,8.288,8.636,8.965,8.736,8.596,8.434,8.646,8.467,8.41,8.262,8.186,7.965,9.208,10.59,10.838,10.82,13.02,13.509,14.142,15.776
Israel,11.102,11.812,12.888,13.505,13.029,11.342,10.707,9.379,7.704,9.534,8.48,7.139,6.762,6.137,5.789,5.176,4.723,4.14,3.917,3.731,4.169
Jordan,13.7,14.7,15.3,14.5,14.619,14.8,14.0,13.1,12.7,12.9,12.5,12.9,12.2,12.6,11.9,13.075,15.275,18.12,18.257,16.801,19.213
Kuwait,0.8,0.8,1.1,1.3,1.7,1.457,1.3,1.5,1.75,1.64,1.82,2.056,2.234,2.476,2.9,2.2,2.16,2.223,2.198,2.239,3.535
Lebanon,8.594,8.456,8.225,8.048,7.85,8.247,8.669,8.98,7.665,6.355,6.77,7.333,7.91,8.423,8.796,9.27,9.76,10.236,10.741,11.301,13.235
Libya,19.168,19.186,19.198,19.002,18.873,18.613,18.744,18.708,18.953,19.18,19.208,19.43,19.03,19.316,19.298,19.649,19.5,19.015,18.836,19.037,19.535
Morocco,13.58,12.46,11.59,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.229,9.282,9.21,11.203
Oman,4.396,4.337,4.374,4.653,4.756,4.64,4.391,4.3,4.142,3.991,3.925,3.928,3.727,3.516,3.43,3.392,3.266,2.524,1.8,2.052,2.94
Qatar,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14
Saudi Arabia,4.57,4.618,5.265,5.563,5.822,6.051,6.254,5.734,5.085,5.377,5.55,5.77,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.45
Sudan,14.869,14.825,14.767,14.766,14.788,14.791,14.783,14.769,14.8,13.0,15.156,17.44,17.068,16.414,15.558,14.512,13.812,13.206,12.605,12.014,12.368
Somalia,18.781,18.883,18.893,18.914,18.846,18.873,18.9,18.834,18.88,18.926,18.973,19.021,19.078,18.995,18.847,18.444,18.372,18.545,18.783,18.828,19.35
Syrian Arab Republic,9.589,11.63,10.94,10.28,9.518,8.816,8.17,8.42,10.94,8.14,8.61,8.612,13.8,14.479,14.768,14.29,13.867,13.67,13.554,13.393,15.176
Tunisia,14.94,14.4,14.55,14.51,14.23,12.872,12.51,12.365,12.444,13.291,13.049,18.334,17.63,15.934,14.259,15.159,15.557,15.33,15.459,17.153,17.576
"Yemen, Rep.",11.561,11.725,11.842,12.013,12.131,12.216,12.349,12.483,12.647,12.753,12.778,13.277,13.44,13.638,13.467,17.9,18.382,18.564,17.644,17.303,17.972
